timestamp,open,high,low,close,volume
2020-01-01 00:00:00,7192.9,7193.5,7176.7,7176.8,46.1065
2020-01-01 01:00:00,7176.9,7226.9,7176.9,7211.3,104.0834
2020-01-01 02:00:00,7211.8,7239.5,7211.6,7238.7,110.5286
2020-01-01 03:00:00,7238.8,7243.0,7219.8,7224.9,76.5573
2020-01-01 04:00:00,7224.8,7226.3,7214.4,7218.0,89.8422
2020-01-01 05:00:00,7218.4,7226.4,7218.0,7223.4,26.0902
2020-01-01 06:00:00,7223.4,7233.4,7221.5,7223.1,13.3834
2020-01-01 07:00:00,7224.0,7230.1,7201.5,7210.0,72.6905
2020-01-01 08:00:00,7209.9,7209.9,7180.8,7202.7,155.697
2020-01-01 09:00:00,7202.4,7212.8,7191.5,7191.6,39.7097
2020-01-01 10:00:00,7191.0,7209.9,7190.2,7202.9,27.474
2020-01-01 11:00:00,7202.6,7234.1,7188.3,7196.9,131.989
2020-01-01 12:00:00,7198.9,7225.0,7198.9,7222.9,42.6599
2020-01-01 13:00:00,7223.9,7228.0,7215.0,7220.0,46.3031
2020-01-01 14:00:00,7220.0,7229.8,7210.0,7220.1,55.4132
2020-01-01 15:00:00,7220.1,7255.0,7218.3,7232.9,117.7059
2020-01-01 16:00:00,7233.0,7245.1,7216.0,7241.8,57.5715
2020-01-01 17:00:00,7243.2,7250.6,7226.6,7235.8,81.3647
2020-01-01 18:00:00,7236.8,7244.2,7225.5,7241.6,21.4186
2020-01-01 19:00:00,7241.6,7241.6,7226.8,7228.8,6.4703
2020-01-01 20:00:00,7229.5,7242.0,7227.5,7233.3,30.0467
2020-01-01 21:00:00,7236.3,7240.8,7230.2,7234.7,6.4079
2020-01-01 22:00:00,7234.7,7235.0,7198.7,7204.1,198.9339
2020-01-01 23:00:00,7202.0,7208.9,7182.0,7202.0,103.0773
2020-01-02 00:00:00,7202.0,7202.0,7202.0,7202.0,0.0019
2020-01-02 01:00:00,7202.7,7202.9,7190.0,7194.2,76.8549
2020-01-02 02:00:00,7193.8,7193.8,7150.0,7169.5,186.2805
2020-01-02 03:00:00,7169.5,7169.5,7126.4,7129.2,143.1201
2020-01-02 04:00:00,7129.2,7159.2,7118.5,7143.7,180.809
2020-01-02 05:00:00,7143.7,7152.7,7130.5,7137.3,103.8333
2020-01-02 06:00:00,7137.3,7146.8,7120.1,7135.3,99.5835
2020-01-02 07:00:00,7135.4,7140.8,7110.0,7112.7,198.1311
2020-01-02 08:00:00,7113.0,7153.7,7113.0,7152.0,192.4475
2020-01-02 09:00:00,7152.1,7160.0,7135.4,7159.1,77.2229
2020-01-02 10:00:00,7159.4,7180.0,7157.0,7161.1,189.2803
2020-01-02 11:00:00,7161.9,7165.1,7141.9,7141.9,61.4237
2020-01-02 12:00:00,7140.1,7162.6,7140.1,7155.6,76.7407
2020-01-02 13:00:00,7155.7,7161.7,7105.1,7131.7,221.3721
2020-01-02 14:00:00,7131.7,7158.1,7122.2,7133.9,124.5237
2020-01-02 15:00:00,7134.0,7148.7,7117.7,7132.0,70.2733
2020-01-02 16:00:00,7132.1,7147.0,7032.5,7056.7,626.7268
2020-01-02 17:00:00,7056.6,7058.4,6912.2,6969.9,715.5409
